Pos,Age,Tm,MP,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
4,26.0,2,32.6,0.513,2.4,0.48,5.4,0.529,0.592,4.4,0.917,6.0,2.8,1.2,1.0,1.8,2.0,22.4,1.0
4,24.0,11,16.0,0.388,0.8,0.333,0.9,0.451,0.477,1.2,0.693,3.4,0.5,0.6,0.2,0.4,1.3,5.5,0.0
3,30.0,1,25.5,0.49,2.1,0.464,3.2,0.509,0.587,2.4,0.887,4.2,3.7,0.6,0.3,1.6,1.6,14.8,0.0
4,27.0,14,30.4,0.392,1.8,0.313,3.7,0.447,0.456,1.8,0.795,3.3,2.5,0.8,0.2,1.5,3.3,14.6,0.0
6,26.0,7,28.6,0.485,1.3,0.38,3.1,0.55,0.557,1.1,0.722,3.9,3.6,1.0,0.6,1.6,2.4,11.1,0.0
1,21.0,24,5.8,0.393,0.1,0.143,0.6,0.476,0.411,0.3,0.417,1.2,0.2,0.3,0.3,0.4,0.8,1.8,0.0
4,26.0,1,35.7,0.486,2.5,0.336,7.4,0.574,0.548,4.3,0.777,7.0,3.2,1.1,0.4,3.1,2.7,26.5,1.0
6,19.0,11,6.7,0.571,0.0,0.0,0.7,0.667,0.571,0.2,0.5,1.0,0.5,0.7,0.0,0.3,1.5,1.5,0.0
4,23.0,13,23.9,0.434,1.3,0.361,1.4,0.532,0.538,0.5,0.963,4.2,1.1,0.7,0.1,0.7,1.5,7.0,0.0
3,26.0,19,35.2,0.479,1.8,0.401,6.5,0.507,0.531,4.9,0.834,3.6,6.2,0.9,0.3,2.0,2.3,23.6,1.0
0,25.0,28,20.2,0.64,0.5,0.431,3.9,0.679,0.674,1.9,0.739,6.4,0.6,0.3,0.6,0.7,1.8,11.1,0.0
0,25.0,13,21.4,0.654,0.5,0.44,4.3,0.697,0.691,2.0,0.741,6.8,0.7,0.3,0.6,0.7,1.9,12.1,0.0
